temperature_K,value_W/(m-K))
55,0.00775966361459
56.4773800775,0.00777166106512
57.9944447349,0.00780599489309
59.5522599578,0.0078609724405
61.1519203657,0.00793514481909
62.7945499812,0.00802726337333
64.4813030197,0.00813624421162
66.2133647007,0.00826113921499
67.9919520802,0.00840111228509
69.8183149063,0.00855541985672
71.693736497,0.00872339490994
73.6195346422,0.00890443386894
75.5970625294,0.00909798589749
77.6277096949,0.00930354419437
79.7129029997,0.00952063896218
81.8541076327,0.00974883178069
84.0528281396,0.00998771115767
86.3106094806,0.0102368890632
88.6290381156,0.0104959982794
91.0097431193,0.0107646904195
93.4543973255,0.0110426344801
95.9647185031,0.0113295158105
98.5424705624,0.0116250353847
101.189464795,0.0119289092737
103.907561147,0.0122408682199
106.698669524,0.012560657221
109.564751136,0.012888035032
112.507819873,0.0132227735016
115.529943721,0.0135646566557
118.633246216,0.0139134794468
121.819907934,0.0142690460916
125.092168025,0.0146311679117
128.452325787,0.0149996606005
131.902742278,0.0153743408413
135.44584198,0.015755022191
139.084114499,0.0161415101585
142.820116314,0.0165335963907
146.656472578,0.0169310518964
150.595878957,0.0173336192253
154.641103527,0.0177410035228
158.794988718,0.0181528623955
163.060453313,0.0185687945089
167.440494498,0.018988326861
171.938189966,0.0194109006796
176.556700083,0.0198358559025
181.299270105,0.0202624142349
186.169232464,0.0206896607853
191.170009102,0.021116524345
196.305113881,0.0215417563942
201.578155052,0.0219639090119
206.992837785,0.022381311913
212.55296678,0.022792048951
218.262448936,0.0231939345227
224.125296094,0.0235844904617
230.145627864,0.0239609241421
236.32767451,0.0243201087102
242.67577993,0.0246585665549
249.194404703,0.0249724573469
255.88812923,0.0252575722077
262.761656942,0.0255093358136
269.819817617,0.0257228184615
277.067570764,0.0258927603343
284.510009112,0.026013610364
292.152362191,0.0260795821756
300,0.0260847295533
