temperature_K,value_J/(kg-K)
16,39.8392378737
16.3706266891,39.5690654483
16.7498386371,39.4349854508
17.1378347145,39.4279352837
17.5348183981,39.5404303342
17.9409978786,39.7663233632
18.3565861688,40.1006053404
18.781801216,40.5392397367
19.216866016,41.0790239249
19.6620087302,41.7174726375
20.117462805,42.4527194343
20.5834670945,43.2834329368
21.0602659858,44.208745214
21.5481095266,45.2281902126
22.0472535573,46.341650524
22.5579598442,47.5493111082
23.0804962173,48.8516188537
23.6151367108,50.2492470664
24.1621617066,51.7430641518
24.7218580813,53.3341058972
25.2945193568,55.0235508737
25.8804458545,56.8126985744
26.479944852,58.7029499809
27.093330745,60.6957903147
27.7209252119,62.7927737806
28.3630573826,64.9955101532
29.0200640107,67.3056530889
29.6922896509,69.724890075
30.3800868387,72.254933948
31.0838162762,74.8975159276
31.8038470207,77.6543801286
32.5405566783,80.5272795156
33.2943316023,83.5179732763
34.0655670953,86.6282255868
34.8546676169,89.859805745
35.6620469956,93.2144896459
36.4881286459,96.6940625697
37.3333457904,100.300323248
38.1981416869,104.035089168
39.0829698608,107.900203079
39.9882943434,111.89754063
40.9145899143,116.029019108
41.8623423516,120.296607187
42.8320486856,124.702335641
43.8242174601,129.248308931
44.8393689989,133.936717586
45.8780356785,138.769851306
46.9407622077,143.750112684
48.0281059128,148.880031462
49.1406370302,154.162279224
50.2789390054,159.599684433
51.4436087989,165.195247709
52.6352571992,170.952157255
53.8545091434,176.873804325
55.1020040445,182.963798647
56.3783961271,189.225983691
57.6843547705,195.664451689
59.0205648594,202.283558318
60.3877271434,209.087936929
61.7865586042,216.082512257
63.2177928322,223.272513483
64.6821804103,230.663486574
66.1804893085,238.261305794
67.7135052857,246.072184285
69.2820323028,254.102683615
70.8868929432,262.359722192
72.5289288453,270.850582417
74.209001143,279.582916469
75.9279909177,288.564750591
77.6867996605,297.804487731
79.4863497446,307.310908413
81.3275849093,317.093169651
83.2114707549,327.16080175
85.1389952488,337.523702806
87.111169244,348.192130696
89.1290270091,359.176692335
91.1936267706,370.488329962
93.306051268,382.1383042
95.4674083215,394.1381736
97.678831413,406.499770369
99.9414802807,419.235171959
102.256541527,432.356668181
104.625229241,445.876723448
107.048785636,459.807933791
109.528481698,474.162978214
112.065617856,488.954563975
114.661524663,504.195365338
117.317563491,519.897955343
120.03512725,536.074730133
122.815641111,552.737825352
125.660563264,569.899024156
128.571385671,587.569656349
131.549634858,605.760488225
134.596872709,624.481602662
137.71469729,643.742269074
140.904743684,663.550802884
144.168684848,683.914414213
147.508232494,704.839045571
150.925137983,726.329198407
154.421193246,748.387748495
157.998231719,771.015750254
161.658129314,794.212230233
165.402805391,817.973970163
169.234223774,842.295280184
173.154393777,867.167763029
177.165371256,892.580070212
181.269259692,918.517651523
185.468211289,944.962499384
189.764428107,971.892889991
194.160163214,999.2831234
198.657721867,1027.10326516
203.259462724,1055.31889238
207.967799081,1083.8908475
212.785200132,1112.7750035
217.71419227,1141.92204449
222.757360411,1171.2772662
227.917349346,1200.78040102
233.196865132,1230.3654728
238.59867651,1259.96068675
244.125616354,1289.48836001
249.780583161,1318.86489879
255.56654257,1348.00082799
261.486528915,1376.80087905
267.543646818,1405.1641422
273.741072819,1432.98428834
280.082057038,1460.1498661
286.56992488,1486.54467877
293.208078784,1512.04824519
300,1536.5363479
