temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
12,-243.986406528
12.618974382,-243.812745382
13.2698762044,-243.627688409
13.9543523229,-243.430395547
14.6741345399,-243.219957647
15.4310439864,-242.995390334
16.2269957292,-242.755627312
17.064003617,-242.499513047
17.9441853747,-242.225794777
18.8697679623,-241.933113804
19.8430932092,-241.619995972
20.8666237387,-241.284841295
21.9429491998,-240.925912635
23.074792818,-240.541323357
24.2650182866,-240.129023878
25.5166370114,-239.686786999
26.83281573,-239.212191951
28.2168845244,-238.702607006
29.672345246,-238.155170581
31.2028803759,-237.56677068
32.8123623423,-236.934022572
34.5048633174,-236.253244555
36.2846655212,-235.520431674
38.1562720558,-234.73122725
40.1244182986,-233.880892059
42.1940838834,-232.964271032
44.3705052995,-231.975757296
46.6591891407,-230.909253423
49.0659260375,-229.758129736
51.5968053078,-228.515179529
54.2582303641,-227.172571066
57.0569349146,-225.721796271
60,-224.153616
63.0948719098,-222.458001859
66.3493810218,-220.624074553
69.7717616144,-218.640038825
73.3706726996,-216.493115088
77.1552199319,-214.169467982
81.1349786462,-211.654132169
85.3200180848,-208.930935817
89.7209268733,-205.982422438
94.3488398116,-202.789771879
99.2154660458,-199.332721594
104.333118694,-195.589489579
109.714745999,-191.536700744
115.37396409,-187.149318938
121.325091433,-182.400587374
127.583185057,-177.261980847
134.16407865,-171.703173886
141.084422622,-165.692029909
148.36172623,-159.194617534
156.01440188,-152.175261446
164.061811711,-144.596636822
172.524316587,-136.419918032
181.423327606,-127.604994556
190.781360279,-118.110769529
200.622091493,-107.89555934
210.970419417,-96.9176162205
221.852526498,-85.1357999045
233.295945704,-72.5104293491
245.329630187,-59.0043512217
257.984026539,-44.5842686456
271.291151821,-29.2223816268
285.284674573,-12.8983999155
300,4.398
