time_s,solver_dt_s,ggg_Tavg_K,cold_stage_Tavg_K,sample_Tavg_K,support_1_heat_leak_W,support_2_heat_leak_W,switch_heat_flow_W,newton_iterations,trajectory_validation_state
420.0,2.0,1.7175168605643725,1.7172620916916683,1.717262283214017,2.4217179308404177e-06,2.454877063680034e-06,0.00014512244176975175,0,NOT_PERFORMED
422.0,2.0,1.7208151069444746,1.7205619724843457,1.7205621630915915,2.419546877337353e-06,2.4526118790901853e-06,0.0001449129613046955,2,NOT_PERFORMED
424.0,2.0,1.7241165788451962,1.7238650645312072,1.7238652542243573,2.4173668368040222e-06,2.4503378060370215e-06,0.0001447032733202126,2,NOT_PERFORMED
426.0,2.0,1.7274212945546878,1.7271713862957465,1.7271715750757717,2.415177709522866e-06,2.448054735946174e-06,0.00014449337668009406,2,NOT_PERFORMED
428.0,2.0,1.7307292725296097,1.7304809564075985,1.73048114427545,2.4129794098265413e-06,2.445762574528693e-06,0.00014428327023684867,2,NOT_PERFORMED
430.0,2.0,1.7340405313980962,1.7337937936654102,1.7337939806220082,2.4107718624864972e-06,2.4434612381986125e-06,0.00014407295283198117,2,NOT_PERFORMED
432.0,2.0,1.7373550899625971,1.737109917039669,1.737110103085919,2.408555000275568e-06,2.4411506525793207e-06,0.00014386242329519086,2,NOT_PERFORMED
434.0,2.0,1.7406729672025858,1.7404293456753763,1.7404295308121578,2.406328761757316e-06,2.438830748604788e-06,0.00014365168044448633,2,NOT_PERFORMED
436.0,2.0,1.7439941822772047,1.7437520988946225,1.7437522831227974,2.404093088147442e-06,2.4365014616680964e-06,0.00014344072308641192,2,NOT_PERFORMED
438.0,2.0,1.7473187545279205,1.7470781961993622,1.7470783795197642,2.4018479248002986e-06,2.4341627309029206e-06,0.00014322955001508877,2,NOT_PERFORMED
440.0,2.0,1.75064670348056,1.7504076693577144,1.7504078517708574,2.3995931363356905e-06,2.4318144096811752e-06,0.0001430181627737423,2,NOT_PERFORMED
442.0,2.0,1.7539780487748295,1.753740577950091,1.753740759455765,2.3973284369899407e-06,2.4294561941163026e-06,0.0001428065644765993,2,NOT_PERFORMED
444.0,2.0,1.7573128105788387,1.7570768928076204,1.757077073407811,2.395054265616554e-06,2.427088545417377e-06,0.0001425947467423747,2,NOT_PERFORMED
446.0,2.0,1.760651009010966,1.7604166307283486,1.7604168104239002,2.3927704768905288e-06,2.424711305553117e-06,0.00014238270815174317,2,NOT_PERFORMED
448.0,2.0,1.7639926643651338,1.7637598119716686,1.7637599907633292,2.3904769924158985e-06,2.422324389201941e-06,0.00014217044742999123,2,NOT_PERFORMED
450.0,2.0,1.7673377971319837,1.767106457186721,1.7671066350752023,2.388173754497201e-06,2.419927735432683e-06,0.0001419579632990549,2,NOT_PERFORMED
452.0,2.0,1.7706864280031864,1.770456587232182,1.7704567642181888,2.385860712742578e-06,2.4175212913511845e-06,0.00014174525446860404,2,NOT_PERFORMED
