temperature_K,value_W/(m-K)
100,0.0284446110744
101.731399631,0.0283881690166
103.492776708,0.0283713224351
105.284650262,0.0283914671787
107.107548307,0.0284461413382
108.962008003,0.0285330071622
110.848575807,0.028649835458
112.767807639,0.0287944924213
114.720269044,0.0289649287718
116.706535358,0.0291591711466
118.72719188,0.0293753156443
120.782834042,0.0296115234273
122.874067585,0.0298660182679
125.001508737,0.0301370859277
127.165784397,0.0304230752414
129.367532319,0.0307224007382
131.607401295,0.0310335466641
133.886051355,0.031355072215
136.204153954,0.0316856177873
138.562392172,0.032023912056
140.961460918,0.0323687796636
143.402067132,0.0327191492961
145.884929992,0.0330740619351
148.410781131,0.0334326790615
150.980364848,0.0337942905991
153.594438327,0.0341583223865
156.253771865,0.0345243429928
158.959149094,0.0348920696973
161.711367214,0.0352613734804
164.511237228,0.0356322828768
167.359584182,0.0360049866025
170.257247404,0.0363798348426
173.205080757,0.0367573391468
176.203952885,0.0371381708705
179.254747475,0.0375231581527
182.35836351,0.0379132813739
185.515715542,0.0383096671123
188.727733956,0.0387135805735
191.995365244,0.0391264164574
195.319572289,0.0395496882398
198.701334642,0.0399850158005
202.141648816,0.0404341112962
205.641528577,0.0408987631337
209.202005243,0.0413808178583
212.824127989,0.0418821596983
216.508964155,0.0424046873999
220.25759956,0.0429502880084
224.071138826,0.0435208070203
227.950705695,0.0441180143566
231.897443372,0.0447435654448
235.91251485,0.0453989566115
239.99710326,0.0460854739077
244.15241222,0.0468041343753
248.379666183,0.0475556187341
252.680110806,0.0483401943705
257.055013311,0.0491576276214
261.505662862,0.0500070842877
266.033370942,0.0508870175551
270.639471744,0.0517950427661
275.325322558,0.0527277988339
280.092304176,0.0536807967483
284.941821296,0.0546482564306
289.875302937,0.0556229342827
294.894202861,0.0565959452012
300,0.0575565845892
