temperature_K,value_W/(m-K)
4,1888.37931107
4.06803283246,1920.67800213
4.13722278149,1953.481159
4.20758952758,1986.79287464
4.27915308593,2020.61704249
4.35193381217,2054.95733887
4.42595240815,2089.81720439
4.50122992782,2125.19982439
4.5777877832,2161.10810821
4.65564775053,2197.54466739
4.73483197638,2234.51179265
4.81536298402,2272.01142965
4.8972636798,2310.04515347
4.98055735966,2348.6141418
5.06526771577,2387.7191466
5.15141884324,2427.3604645
5.23903524701,2467.5379056
5.32814184881,2508.25076072
5.41876399424,2549.49776709
5.51092745999,2591.27707237
5.60465846113,2633.58619694
5.69998365865,2676.42199452
5.79693016697,2719.78061086
5.89552556168,2763.65744068
5.99579788738,2808.04708269
6.09777566567,2852.94329266
6.20148790323,2898.33893458
6.30696410011,2944.22592975
6.4142342581,2990.59520391
6.52332888926,3037.43663233
6.63427902461,3084.73898284
6.74711622296,3132.48985688
6.86187257985,3180.67562839
6.97858073675,3229.28138091
7.09727389027,3278.29084251
7.21798580164,3327.68631898
7.34075080633,3377.44862507
7.46560382377,3427.55701406
7.5925803673,3477.98910569
7.72171655432,3528.72081256
7.85304911648,3579.72626526
7.9866154102,3630.97773629
8.12245342723,3682.44556316
8.26060180552,3734.09807071
8.40109984019,3785.90149317
8.54398749467,3837.81989612
8.68930541211,3889.81509882
8.83709492693,3941.84659729
8.98739807658,3993.87148862
9.14025761348,4045.84439705
9.2957170172,4097.71740237
9.45382050681,4149.43997132
9.61461305347,4200.9588926
9.77814039323,4252.2182164
9.94444904002,4303.15919915
10.1135862989,4353.72025442
10.2856002794,4403.83691099
10.4605399096,4453.44177906
10.6384549494,4502.46452585
10.8193960052,4550.83186149
11.0034145441,4598.46753687
11.1905629086,4645.29235435
11.3808943315,4691.22419305
11.5744629508,4736.17804993
11.7713238255,4780.06609837
11.9715329509,4822.79776557
12.1751472748,4864.27983056
12.3822247135,4904.4165442
12.5928241684,4943.10977302
12.8070055426,4980.25916821
13.0248297582,5015.76236154
13.2463587734,5049.51518963
13.4716556002,5081.41194789
13.7007843223,5111.34567557
13.9338101134,5139.20847304
14.1707992556,5164.8918522
14.4118191585,5188.28712084
14.6569383781,5209.28580152
14.9062266363,5227.78008501
15.1597548412,5243.66331828
15.4175951065,5256.83052643
15.6798207727,5267.17896771
15.9465064276,5274.60871999
16.2177279276,5279.02329689
16.4935624194,5280.33029095
16.7740883616,5278.44204073
17.0593855474,5273.27631807
17.3495351271,5264.75703107
17.6446196312,5252.81493774
17.944722994,5237.38836453
18.2499305773,5218.42392335
18.5603291946,5195.87721995
18.8760071362,5169.71354601
19.197054194,5139.90854676
19.5235616869,5106.44885535
19.8556224872,5069.33268493
20.1933310467,5028.5703691
20.5367834237,4984.18484116
20.8860773102,4936.21204275
21.2413120598,4884.70125249
21.602588716,4829.71532573
21.9700100407,4771.33083701
22.3436805437,4709.63811752
22.7237065125,4644.74118091
23.110196042,4576.75753199
23.5032590658,4505.81785413
23.9030073874,4432.06557277
24.3095547116,4355.65629416
24.7230166774,4276.75712035
25.1435108902,4195.54584344
25.5711569562,4112.21002386
26.0060765155,4026.94596003
26.4483932771,3939.95755814
26.8982330543,3851.45511335
27.3557238,3761.65401504
27.8209956435,3670.77339063
28.2941809274,3579.03470397
28.775414245,3486.66032504
29.2648324791,3393.87208901
29.7625748404,3300.88986279
30.2687829073,3207.93013734
30.7836006664,3115.20466398
31.3071745531,3022.91915186
31.8396534934,2931.27204288
32.3811889463,2840.45337919
32.9319349469,2750.64377609
33.4920481501,2662.01351177
34.0616878752,2574.72174288
34.6410161514,2488.91585239
35.2301977634,2404.73093419
35.8294002989,2322.28941596
36.4387941958,2241.70081992
37.058552791,2163.06165812
37.6888523693,2086.45545758
38.329872214,2011.95290779
38.9817946576,1939.61212222
39.6448051339,1869.47900332
40.3190922303,1801.58770007
41.0048477419,1735.96114582
41.7022667261,1672.61166393
42.4115475574,1611.54162851
43.1328919848,1552.74416765
43.8665051882,1496.20389679
44.6125958378,1441.89767049
45.3713761523,1389.7953418
46.1430619604,1339.860519
46.9278727613,1292.0513107
47.7260317876,1246.32105152
48.5377660688,1202.61900131
49.3633064955,1160.89101244
50.2028878856,1121.08016047
51.0567490508,1083.12733488
51.9251328643,1046.97178718
52.8082863305,1012.55163521
53.7064606546,979.804322537
54.6199113145,948.667033378
55.5488981334,919.077063521
56.4936853534,890.972148563
57.4545417111,864.290751161
58.4317405137,838.972309303
59.4255597168,814.957447935
60.4362820039,792.1881564
61.4641948659,770.607934317
62.5095906838,750.161908546
63.5727668113,730.7969239
64.6540256597,712.461610224
65.7536747836,695.106428372
66.8720269687,678.683697527
68.0094003204,663.147606151
69.1661183549,648.454208735
70.3425100904,634.561410358
71.5389101413,621.4289409
72.7556588133,609.01832059
73.9931022,597.292818437
75.2515922813,586.2174049
76.5314870238,575.758700046
77.8331504824,565.884918262
79.1569529041,556.565810497
80.5032708329,547.772604853
81.8724872171,539.477946256
83.2649915186,531.655835819
84.6811798231,524.28157042
86.1214549529,517.331682949
87.5862265819,510.783883561
89.0759113517,504.617002264
90.59093299,498.810933054
92.1317224316,493.346579803
93.6987179407,488.205804023
95.2923652356,483.37137462
96.9131176153,478.826919708
98.5614360888,474.556880505
100.237789506,470.546467346
101.942654691,466.781617794
103.676516578,463.248956833
105.439868348,459.935759106
107.233211573,456.829913143
109.057056352,453.919887538
110.911921463,451.194698996
112.798334506,448.643882191
114.716832054,446.257461364
116.667959808,444.025923582
118.652272748,441.94019358
120.670335297,439.991610128
122.722721473,438.171903824
124.81001506,436.473176253
126.932809771,434.887880437
129.091709416,433.408802501
131.287328076,432.029044497
133.520290275,430.742008296
135.791231159,429.541380515
138.100796679,428.421118389
140.44964377,427.375436548
142.838440541,426.398794636
145.267866464,425.485885714
147.73861257,424.631625408
150.251381639,423.83114174
152.806888407,423.07976561
155.405859767,422.373021874
158.049034972,421.706620983
160.737165851,421.076451154
163.47101702,420.478571013
166.251366098,419.909202702
169.079003932,419.364725404
171.954734819,418.84166926
174.879376735,418.336709649
177.85376157,417.846661806
180.87873536,417.368475756
183.955158535,416.899231537
187.083906155,416.436134687
190.265868166,415.976511995
193.501949649,415.517807468
196.793071079,415.057578522
200.140168588,414.593492365
203.544194228,414.123322572
207.006116244,413.644945818
210.52691935,413.156338774
214.107605008,412.655575153
217.749191713,412.140822877
221.452715282,411.61034138
225.219229152,411.062479015
229.049804673,410.495670574
232.945531419,409.908434901
236.907517497,409.299372594
240.936889859,408.667163795
245.034794624,408.010566048
249.202397406,407.328412237
253.440883644,406.619608579
257.751458938,405.883132688
262.135349394,405.118031685
266.593801971,404.323420364
271.128084837,403.498479405
275.739487729,402.642453634
280.429322322,401.754650314
285.198922598,400.834437488
290.049645228,399.881242345
294.982869957,398.894549625
300,397.873900053
