temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
77,-332.054309793
78.6247204204,-329.932416416
80.2837228726,-327.768179444
81.9777307164,-325.560589688
83.7074825751,-323.308598126
85.4737326567,-321.011113447
87.2772510834,-318.666999417
89.1188242272,-316.275072074
90.9992550527,-313.834096715
92.9193634673,-311.342784689
94.8799866787,-308.799789961
96.8819795598,-306.203705448
98.9262150217,-303.553059097
101.013584394,-300.846309702
103.144997813,-298.081842434
105.321384621,-295.25796407
107.543693768,-292.372897892
109.812894227,-289.424778255
112.129975418,-286.41164478
114.495947636,-283.331436156
116.911842495,-280.181983541
119.378713377,-276.961003504
121.897635889,-273.666090515
124.469708333,-270.294708932
127.096052188,-266.844184451
129.777812596,-263.311695005
132.516158858,-259.694261064
135.312284954,-255.988735291
138.167410051,-252.19179154
141.082779045,-248.299913127
144.059663098,-244.309380347
147.099360194,-240.21625719
150.203195705,-236.016377201
153.372522968,-231.705328434
156.608723877,-227.278437455
159.913209484,-222.73075232
163.287420613,-218.057024488
166.732828492,-213.25168959
170.250935391,-208.308846995
173.843275278,-203.222238102
177.511414489,-197.985223286
181.256952411,-192.590757413
185.081522177,-187.03136386
188.986791378,-181.299106933
192.974462796,-175.385562616
197.046275137,-169.281787538
201.204003799,-162.978286078
205.449461639,-156.464975492
209.784499765,-149.731148969
214.211008345,-142.765436483
218.73091743,-135.55576336
223.346197795,-128.089306399
228.0588618,-120.352447453
232.870964265,-112.330724323
237.784603368,-104.008778834
242.80192156,-95.3703019537
247.925106496,-86.3979758033
253.156391993,-77.0734124195
258.498059001,-67.3770891017
263.9524366,-57.2882801922
269.521903012,-46.7849851234
275.208886643,-35.843852563
281.015867137,-24.440100486
286.945376459,-12.5474319983
293,-0.137946733457
