temperature_K,value_W/(m•K)
2,0.030923282558
2.11866446754,0.0318498850038
2.24436956301,0.0327403319171
2.3775330226,0.0335716791441
2.51859736769,0.0343279165454
2.66803137549,0.0349996773637
2.82633163677,0.0355837247188
2.99402420616,0.0360822290373
3.17166635027,0.0365018901657
3.35984839961,0.0368529769342
3.5591957103,0.0371483589473
3.77037074222,0.0374025953748
3.9940752605,0.0376311287132
4.23105266756,0.0378496124509
4.48209047353,0.0380733837206
4.74802291329,0.0383170774691
5.02973371873,0.0385943683185
5.32815905554,0.0389178201317
5.64429063419,0.0392988207539
5.97917900558,0.0397475796169
6.3339370521,0.0402731679781
6.70974368597,0.0408835847213
7.10784776689,0.0415858342437
7.5295722522,0.0423860065505
7.97631859327,0.0432893529896
8.44957139268,0.0443003539384
8.95090333782,0.0454227771253
9.48198042713,0.0466597271359
10.0445675064,0.0480136880221
10.6405341339,0.0494865618411
11.2718607926,0.0510797064267
11.9406454721,0.0527939757608
12.6491106407,0.0546297660022
13.3996106302,0.05658706956
14.1946394606,0.0586655386131
15.0368391273,0.0608645582096
15.9290083816,0.0631833276029
16.8741120307,0.0656209468457
17.8752907904,0.0681765039683
18.9358717223,0.0708491563837
20.05937929,0.0736381985844
21.2495470713,0.0765431067885
22.5103301657,0.0795635500275
23.8459183373,0.0826993562856
25.2607499386,0.0859504217413
26.7595266592,0.0893165509557
28.3472291506,0.0927972160431
30.0291335773,0.0963912235215
31.8108291507,0.100096278797
33.6982367023,0.103908440278
35.69762836,0.107821458244
37.815648391,0.111825998167
40.0593352815,0.115908754731
42.4361451272,0.120051471778
44.9539764102,0.124229895485
47.6211962475,0.128412703551
50.4466681958,0.132560472269
53.4397817062,0.136624765731
56.610483327,0.140547455889
59.9693097577,0.144260406588
63.5274228634,0.147685675479
67.2966467676,0.150736399781
71.2895071457,0.153318528943
75.5192728491,0.15533354197
80,0.156682232788
