temperature_K,value_J/(kg-K)
90,483.885414649
91.7091123273,490.950447184
93.4506809319,497.825315036
95.2253221628,504.53830721
97.0336640737,511.117057283
98.8763466452,517.588379864
100.754022011,523.97813979
102.667354689,530.311150394
104.617021817,536.611097532
106.603713391,542.900486081
108.62813251,549.20060578
110.690995625,555.531513697
112.793032794,561.912030775
114.934987936,568.359750157
117.117619099,574.891055259
119.341698728,581.521146061
121.608013933,588.264071875
123.917366774,595.132769615
126.270574542,602.139106376
128.668470048,609.293925617
131.111901918,616.607096322
133.601734894,624.087564589
136.138850139,631.74340737
138.72414555,639.58188826
141.358536075,647.609514943
144.042954037,655.832098656
146.778349464,664.254815404
149.565690425,672.882269176
152.405963372,681.718557317
155.300173491,690.767338183
158.249345057,700.031901289
161.254521796,709.515240145
164.316767252,719.220127984
167.437165168,729.149196644
170.616819869,739.305018584
173.856856647,749.69019244
177.158422168,760.307432125
180.522684871,771.159659536
183.950835383,782.250101106
187.444086943,793.582388095
191.003675828,805.160660796
194.630861794,816.989676578
198.326928518,829.074921788
202.093184055,841.422727512
205.930961301,854.040389125
209.841618463,866.936289629
213.82653954,880.120026741
217.887134813,893.602543818
222.024841348,907.396264383
226.241123496,921.515230648
230.537473419,935.975245757
234.915411616,950.794020214
239.376487459,965.99132243
243.922279744,981.589133798
248.554397246,997.61180861
253.274479295,1014.08623912
258.084196347,1031.04202648
262.985250586,1048.51165781
267.979376516,1066.53069038
273.068341581,1085.13794352
278.25394679,1104.37569915
283.538027352,1124.28991176
288.922453328,1144.93042901
294.40913029,1166.35122393
300,1188.61063978
