temperature_K,value_J/(kg-K)
80,438.246446025
81.6693737816,438.139128271
83.3735826735,438.902979907
85.113353586,440.453977726
86.8894285977,442.718041904
88.7025652728,445.629549847
90.5535369831,449.13013511
92.443133239,453.167716419
94.3721600255,457.695712994
96.3414401463,462.672410807
98.3518135746,468.060450354
100.404137812,473.826412535
102.499288252,479.940482594
104.638158557,486.376176006
106.821661038,493.110112774
109.050727041,500.121828614
111.326307349,507.393614105
113.649372582,514.910373403
116.020913618,522.659496819
118.44194201,530.630741702
120.913490418,538.816117664
123.436613052,547.209772839
126.012386121,555.80787884
128.64190829,564.608512676
131.326301152,573.611534461
134.066709702,582.818460325
136.864302829,592.232329934
139.720273813,601.857569816
142.635840837,611.699851232
145.612247499,621.765945802
148.650763353,632.063576815
151.75268444,642.601270868
154.919333848,653.388208219
158.152062276,664.43407538
161.452248604,675.748921198
164.821300489,687.343018744
168.26065496,699.226734493
171.771779034,711.410409286
175.356170338,723.904251928
179.015357753,736.718250732
182.750902062,749.862105586
186.564396618,763.34518579
190.457468022,777.176518083
194.431776817,791.3648108
198.489018199,805.918520565
202.630922735,820.845968588
206.859257107,836.155513827
211.175824861,851.855793508
215.582467178,867.956038592
220.081063659,884.466477386
224.673533128,901.398837208
229.361834448,918.766958802
234.14796736,936.587537798
239.033973331,954.881008547
244.021936431,973.672592321
249.113984217,992.993524796
254.31228864,1012.88249416
259.619066978,1033.38731204
265.036582773,1054.5668553
270.567146803,1076.49331591
276.213118067,1099.25481237
281.976904785,1122.95842246
287.860965433,1147.73371629
293.867809788,1173.73689226
300,1201.1556405
