time_s,GGG_Tavg_K_dt_0.1,GGG_Tavg_K_dt_0.05,GGG_Tavg_K_dt_0.025,cold_stage_Tavg_K_dt_0.1,cold_stage_Tavg_K_dt_0.05,cold_stage_Tavg_K_dt_0.025,sample_Tavg_K_dt_0.1,sample_Tavg_K_dt_0.05,sample_Tavg_K_dt_0.025,support_1_W_dt_0.1,support_1_W_dt_0.05,support_1_W_dt_0.025,support_2_W_dt_0.1,support_2_W_dt_0.05,support_2_W_dt_0.025,switch_W_dt_0.1,switch_W_dt_0.05,switch_W_dt_0.025
0.1,1.09047076484,1.08807713813,1.08640893489,1.16400777301,1.07678918049,1.06498079038,1.16527053619,1.07699455763,1.06503575319,6.44185035513e-05,5.59461822102e-05,5.31049765562e-05,7.22236223625e-05,6.15904786566e-05,5.82754969219e-05,0.000193067561256,0.000173464803524,0.000172932282571
0.2,1.08927554569,1.08688726422,1.08533564213,1.04429970923,1.03822700858,1.04154495468,1.04436574936,1.03824816903,1.04156303305,4.25413534988e-05,4.03834288923e-05,3.97420650853e-05,4.61743303054e-05,4.36306817449e-05,4.28807652083e-05,0.000174765877281,0.000175678677761,0.000176591793374
0.3,1.08878056369,1.08645768924,1.08497337466,1.03144601304,1.03068189507,1.03418937758,1.0314624803,1.0306948092,1.03420196151,3.49033030814e-05,3.3888793678e-05,3.35911494348e-05,3.76254514129e-05,3.64655595139e-05,3.61408721167e-05,0.000176899885192,0.000177931354201,0.000178630240923
0.4,1.08856709836,1.08629112115,1.08485237743,1.02842674123,1.02816232525,1.03116616445,1.02843725922,1.02817201441,1.03117578302,3.06143486847e-05,2.99916993943e-05,2.9815058083e-05,3.29407133745e-05,3.22562273933e-05,3.20766671445e-05,0.000178533637078,0.000179355894049,0.000179920933435
0.5,1.08848692554,1.08624380164,1.0848376872,1.02867618979,1.02848341286,1.03112432334,1.02868418422,1.02849095666,1.03113179101,2.7751592899e-05,2.73215398952e-05,2.72055175807e-05,2.98469471163e-05,2.93865750686e-05,2.92732670435e-05,0.000179671130746,0.000180345883595,0.000180823585139
0.6,1.08847931952,1.08625944986,1.08487730578,1.03086026709,1.03082567561,1.03327258301,1.03086662094,1.0308316674,1.03327850263,2.56664250818e-05,2.53508387127e-05,2.52707335765e-05,2.76002282231e-05,2.72668721931e-05,2.71904161501e-05,0.000180506998797,0.000181079769281,0.000181494737977
0.7,1.08851604302,1.08631309568,1.0849490769,1.03428714829,1.03448084025,1.03679300608,1.03429234568,1.03448574631,1.0367978788,2.40596827249e-05,2.38194634311e-05,2.37624913209e-05,2.58693516289e-05,2.56171257386e-05,2.55636452073e-05,0.000181149876254,0.000181648607644,0.000182015496789
0.8,1.08858257883,1.08639243746,1.08504250885,1.03843478244,1.03883632372,1.04099860647,1.03843917219,1.03884050764,1.04100280655,2.27705207897e-05,2.25826960982e-05,2.25410915346e-05,2.44797932771e-05,2.42832191773e-05,2.42449826094e-05,0.000181661493012,0.00018210419419,0.000182432736213
0.9,1.0886706455,1.08649057364,1.08515182642,1.04290218151,1.04343525905,1.04540963961,1.04290602475,1.04343898296,1.04541342183,2.17037406094e-05,2.15536560112e-05,2.15225949859e-05,2.33294731792e-05,2.31727406671e-05,2.31449386085e-05,0.000182079293674,0.000182478287896,0.000182775463362
1.0,1.08877497729,1.08660305803,1.08527329854,1.04740362275,1.04797819327,1.04973188221,1.04740710864,1.04798163373,1.04973540977,2.07991895504e-05,2.06770023812e-05,2.06533213683e-05,2.23540416108e-05,2.22267882364e-05,2.22063055626e-05,0.000182427293004,0.000182791410136,0.00018306247239
