temperature_K,value_GPa
8,207.853375575
8.23238385492,207.847357048
8.47151799184,207.841753781
8.71759849284,207.836602732
8.97082713576,207.831942577
9.23141155971,207.827813731
9.49956543529,207.824258361
9.77550863978,207.821320394
10.0594674375,207.81904552
10.3516746652,207.817481181
10.6523699231,207.816676552
10.9617997714,207.816682508
11.2802179324,207.817551587
11.6078854983,207.819337921
11.9450711458,207.82209717
12.2920513558,207.825886426
12.6491106407,207.830764098
13.0165417772,207.836789781
13.3946460467,207.844024093
13.7837334821,207.852528496
14.1841231223,207.862365071
14.5961432736,207.87359628
15.0201317787,207.886284681
15.4564362942,207.900492609
15.9054145753,207.916281816
16.3674347695,207.933713069
16.8428757178,207.952845692
17.3321272662,207.973737071
17.8355905847,207.996442092
18.3536784966,208.021012522
18.8868158167,208.047496334
19.4354397001,208.075936962
20,208.10637248
20.5809596373,208.138834718
21.1787949796,208.173348293
21.7939962321,208.209929561
22.4270678394,208.248585487
23.0785288993,208.289312427
23.7489135882,208.332094824
24.4387715994,208.376903812
25.1486685937,208.423695733
25.8791866629,208.472410568
26.6309248078,208.522970277
27.4044994286,208.575277066
28.200544831,208.629211572
29.0197137459,208.684630989
29.8626778645,208.741367142
30.7301283895,208.799224519
31.6227766017,208.857978296
32.5413544429,208.917372368
33.4866151166,208.977117422
34.4593337053,209.036889092
35.4603078058,209.096326248
36.4903581839,209.155029466
37.5503294466,209.21255975
38.6410907354,209.268437597
39.7635364384,209.322142488
40.9185869237,209.373112926
42.1071892946,209.420747154
43.3303181656,209.46440471
44.5889764619,209.503408997
45.8841962415,209.537051089
47.2170395418,209.564595018
48.5885992501,209.58528483
50,209.59835375
