temperature_K,value_GPa
50,209.5745605
51.4033620489,209.56975506
52.8461125985,209.562452818
54.3293571755,209.552490013
55.8542323355,209.5396961
57.4219065341,209.523893657
59.0335810222,209.50489832
60.6904907665,209.482518724
62.3939053958,209.456556483
64.1451301741,209.42680618
65.9455070002,209.393055394
67.7964154366,209.355084753
69.699273766,209.312668024
71.6555400788,209.265572233
73.6667133895,209.213557831
75.7343347862,209.156378899
77.8599886109,209.093783404
80.0453036737,209.025513492
82.2919545011,208.951305852
84.6016626185,208.870892117
86.9761978703,208.783999335
89.4173797752,208.690350501
91.9270789209,208.589665144
94.5072183974,208.481659986
97.1597752702,208.36604967
99.886782096,208.242547547
102.69032848,208.110866536
105.572562675,207.970720048
108.535693232,207.821822969
111.581990689,207.6638927
114.71378931,207.496650256
117.933488878,207.319821393
121.24355653,207.133137771
124.646528648,206.936338129
128.145012804,206.729169452
131.741689759,206.511388106
135.439315512,206.282760907
139.240723418,206.043066102
143.148826356,205.792094189
147.166618961,205.529648558
151.29717992,205.255545854
155.543674328,204.969616016
159.909356117,204.671701882
164.39757055,204.361658269
169.011756779,204.039350393
173.755450484,203.704651497
178.632286584,203.357439504
183.646002018,202.997592523
188.800438611,202.62498295
194.099546018,202.239469937
199.54738475,201.840889893
205.148129284,201.429044693
210.906071265,201.00368718
216.825622791,200.564503498
222.911319795,200.111091724
229.167825525,199.642936203
235.599934108,199.159376858
242.212574233,198.659572713
249.010812922,198.142458684
255.999859414,197.606694613
263.185069158,197.050605351
270.571947916,196.472110533
278.16615598,195.868642502
285.973512511,195.237050623
294,194.573489986
