temperature_K,value_GPa
0,215.351
4.65625,215.39209347
9.3125,215.418299383
13.96875,215.430145467
18.625,215.428149872
23.28125,215.412821178
27.9375,215.38465839
32.59375,215.344150938
37.25,215.29177868
41.90625,215.2280119
46.5625,215.153311308
51.21875,215.068128039
55.875,214.972903658
60.53125,214.868070152
65.1875,214.754049938
69.84375,214.631255855
74.5,214.500091173
79.15625,214.360949586
83.8125,214.214215213
88.46875,214.060262602
93.125,213.899456726
97.78125,213.732152984
102.4375,213.558697201
107.09375,213.37942563
111.75,213.194664948
116.40625,213.004732261
121.0625,212.809935098
125.71875,212.610571418
130.375,212.406929603
135.03125,212.199288464
139.6875,211.987917236
144.34375,211.773075581
149,211.555013588
153.65625,211.333971773
158.3125,211.110181076
162.96875,210.883862864
167.625,210.655228933
172.28125,210.4244815
176.9375,210.191813214
181.59375,209.957407147
186.25,209.721436797
190.90625,209.48406609
195.5625,209.245449378
200.21875,209.005731438
204.875,208.765047475
209.53125,208.523523118
214.1875,208.281274426
218.84375,208.038407881
223.5,207.795020392
228.15625,207.551199295
232.8125,207.307022352
237.46875,207.062557751
242.125,206.817864107
246.78125,206.57299046
251.4375,206.327976279
256.09375,206.082851455
260.75,205.83763631
265.40625,205.592341588
270.0625,205.346968463
274.71875,205.101508533
279.375,204.855943823
284.03125,204.610246785
288.6875,204.364380295
293.34375,204.118297658
298,203.871942603
