temperature_K,value_units: GPa
57,214.435908719
58.4768698452,214.455340146
59.9920053841,214.471440556
61.5463980807,214.484001722
63.1410650879,214.492809066
64.7770499129,214.497641783
66.4554231002,214.498273002
68.1772829323,214.494469982
69.9437561479,214.485994348
71.7559986798,214.472602377
73.6151964107,214.454045325
75.5225659499,214.430069803
77.4793554285,214.40041821
79.4868453173,214.364829221
81.5463492636,214.323038328
83.6592149516,214.274778446
85.8268249839,214.219780584
88.0505977862,214.157774577
90.3319885357,214.088489884
92.6724901134,214.011656458
95.0736340806,213.927005678
97.5369916814,213.834271354
100.064174871,213.733190791
102.65683737,213.623505924
105.316675748,213.504964499
108.04543053,213.377321323
110.844887342,213.24033954
113.716878072,213.09379196
116.663282074,212.937462391
119.686027396,212.77114699
122.787092041,212.59465559
125.968505262,212.407812991
129.232348891,212.210460182
132.5807587,212.002455454
136.015925798,211.783675373
139.540098066,211.554015557
143.155581628,211.313391195
146.86474236,211.06173725
150.670007435,210.799008259
154.573866919,210.525177646
158.578875391,210.240236427
162.687653622,209.944191203
166.902890285,209.637061287
171.227343719,209.318874797
175.66384373,208.989663544
180.215293444,208.649456484
184.884671208,208.298271495
189.675032537,207.936105198
194.589512115,207.5629205
199.631325846,207.17863149
204.803772956,206.783085284
210.110238157,206.376040329
215.554193858,205.957140645
221.139202435,205.525885394
226.86891857,205.081593076
232.747091634,204.62335959
238.777568146,204.150009266
244.964294288,203.660037873
251.311318488,203.151546488
257.822794068,202.622164943
264.502981962,202.068963438
271.356253506,201.488350686
278.387093298,200.875956804
285.600102129,200.226498875
293,199.533626925
