T_K,cp_J_kgK
1.00000,0.2513089005235602
1.52513,0.3821989528795812
2.00544,0.5026178010471204
2.49080,0.6230366492146597
3.02386,0.7696335078534031
3.50725,1.2198952879581152
3.97616,1.6544502617801046
4.00000,1.6818163556031045
