time_s,segment,solver_dt_s,ggg_Tavg_K,cold_stage_Tavg_K,sample_Tavg_K,support_1_heat_leak_W,support_2_heat_leak_W,switch_heat_flow_W,newton_iterations,trajectory_validation_state
0.0,0,0.00025,1.0935592692383362,4.0,4.0,0.0,0.0,0.0,0,VALIDATED_BASELINE
0.00025,0,0.00025,1.089808370800288,3.950337129174415,3.962824501038433,-1.673348836028219e-05,5.9430673798756324e-05,0.010594326757347531,5,VALIDATED_BASELINE
0.0005,0,0.00025,1.0887783407845968,3.8774885517334705,3.898664848290986,-1.777201191569753e-05,0.00010100235135566,0.006205822402156839,4,VALIDATED_BASELINE
0.00075,0,0.00025,1.0887210262374827,3.797971770293229,3.822563109057787,-8.424131907719124e-06,0.00012158313789997951,0.003391193304221194,4,VALIDATED_BASELINE
0.001,0,0.00025,1.0890754936147926,3.717394100579376,3.7426558716173486,4.792245387609011e-06,0.0001327167341395438,0.0020658057665673716,4,VALIDATED_BASELINE
0.00125,0,0.00025,1.0896201571422968,3.637433975679948,3.662296294672529,1.884690096389729e-05,0.00014033985991210085,0.0014018370034207693,4,VALIDATED_BASELINE
0.0015,0,0.00025,1.0902512338585517,3.5586164274510783,3.5827219372250596,3.259383908815637e-05,0.00014652946639587822,0.0010323906681371652,4,VALIDATED_BASELINE
0.00175,0,0.00025,1.090909147809046,3.4811418009331057,3.5043874404345825,4.565154016280852e-05,0.00015193034627343434,0.0008078081532848353,4,VALIDATED_BASELINE
0.002,0,0.00025,1.0915589181644807,3.4051162683336673,3.427482283984415,5.790963477545845e-05,0.00015674094165597845,0.0006611608651128002,4,VALIDATED_BASELINE
0.0022500000000000003,0,0.00025,1.0921789914755213,3.330615000258123,3.3521082239600317,6.934522406585663e-05,0.000161028002022155,0.0005597276589859075,4,VALIDATED_BASELINE
0.0025,0,0.00025,1.0927615205000392,3.257699484736408,3.278335672971624,7.997647829504925e-05,0.00016483785237756402,0.0004861791471871893,4,VALIDATED_BASELINE
0.00275,0,0.00025,1.0933045672210675,3.186421665781837,3.206220251541074,8.982904261853408e-05,0.00016820341097775732,0.0004310662912364194,5,VALIDATED_BASELINE
0.003,0,0.00025,1.093811723120171,3.1168243618920997,3.1358069547950858,9.893157714546085e-05,0.00017115389864880826,0.0003887108639264825,4,VALIDATED_BASELINE
0.0032500000000000003,0,0.00025,1.0942838974119569,3.048942545086324,3.0671321641385076,0.00010744249590077946,0.00017371687876066428,0.00035545522945880045,4,VALIDATED_BASELINE
0.0035,0,0.00025,1.0947208606255705,2.982803247674882,3.000223994115548,0.0001153196715808932,0.00017592008774287946,0.0003288736817557215,5,VALIDATED_BASELINE
0.00375,0,0.00025,1.0951319666444428,2.9184238525961352,2.935100974135994,0.0001223334260213437,0.00017779119298255925,0.000307339974395574,6,VALIDATED_BASELINE
0.004,0,0.00025,1.095520323772817,2.8558157602856156,2.8717748940633068,0.00012870974002335162,0.00017949027717579895,0.00028964018746364115,5,VALIDATED_BASELINE
