temperature_K,value_10 -6 /K
5,0.000209897893699
5.05444643026,0.000217410884079
5.10948574327,0.000225200733745
5.16512439511,0.000233274442683
5.22136891214,0.00024163910274
5.2782258918,0.000250301897182
5.33570200338,0.000259270100752
5.39380398879,0.000268551080267
5.45253866333,0.000278152295801
5.51191291654,0.000288081302467
5.57193371298,0.000298345752868
5.63260809304,0.000308953400222
5.69394317378,0.000319912102221
5.75594614976,0.000331229825642
5.81862429389,0.000342914651761
5.88198495825,0.000354974782583
5.94603557501,0.000367418547937
6.01078365726,0.000380254413463
6.0762367999,0.000393490989513
6.14240268053,0.000407137040998
6.20928906037,0.000421201498217
6.27690378512,0.00043569346867
6.34525478596,0.000450622249911
6.41435008039,0.000465997343426
6.48419777326,0.000481828469591
6.55480605762,0.000498125583707
6.6261832158,0.00051489889314
6.69833762027,0.000532158875583
6.77127773468,0.000549916298452
6.84501211487,0.000568182239434
6.91954940982,0.000586968108213
6.99489836269,0.000606285669364
7.07106781187,0.00062614706646
7.14806669196,0.000646564847378
7.22590403489,0.000667551990847
7.3045889709,0.00068912193423
7.3841307297,0.00071128860257
7.46453864146,0.000734066438919
7.54582213797,0.000757470435954
7.62799075372,0.000781516168921
7.71105412704,0.000806219829915
7.79502200119,0.000831598263526
7.87990422554,0.000857669003874
7.96571075671,0.000884450313073
8.05245165975,0.000911961221135
8.14013710929,0.000940221567381
8.22877739077,0.000969252043358
8.31838290163,0.000999074237347
8.40896415254,0.00102971068047
8.50053176859,0.00106118489448
8.59309649061,0.00109352144123
8.68666917637,0.00112674597398
8.78126080187,0.00116088529052
8.87688246263,0.00119596738815
8.97354537502,0.00123202152072
9.0712608775,0.00126907825767
9.17004043205,0.00130716954524
9.26989562542,0.0013463287699
9.37083817055,0.00138659082406
9.47287990793,0.00142799217425
9.57603280699,0.00147057093181
9.68030896746,0.00151436692614
9.78572062088,0.00155942178079
9.89228013194,0.00160577899231
10,0.00165348401217
10.1088928605,0.00170258433173
10.2189714865,0.00175312957047
10.3302487902,0.00180517156762
10.4427378243,0.00185876447731
10.5564517836,0.00191396486741
10.6714040068,0.0019708318222
10.7876079776,0.00202942704904
10.9050773267,0.00208981498919
11.0238258331,0.00215206293297
11.143867426,0.00221624113944
11.2652161861,0.00228242296074
11.3878863476,0.00235068497128
11.5118922995,0.00242110710202
11.6372485878,0.00249377277994
11.7639699165,0.00256876907298
11.89207115,0.00264618684053
12.0215673145,0.00272612088982
12.1524735998,0.00280867013825
12.2848053611,0.00289393778192
12.4185781207,0.00298203147065
12.5538075702,0.00307306348947
12.6905095719,0.00316715094699
12.8287001608,0.00326441597073
12.9683955465,0.00336498590961
13.1096121152,0.00346899354378
13.2523664316,0.00357657730202
13.3966752405,0.00368788148686
13.5425554694,0.00380305650751
13.6900242297,0.00392225912085
13.8390988196,0.00404565268064
13.9897967254,0.00417340739495
14.1421356237,0.00430570059209
14.2961333839,0.00444271699504
14.4518080698,0.0045846490045
14.6091779418,0.00473169699061
14.7682614594,0.00488406959344
14.9290772829,0.00504198403216
15.0916442759,0.00520566642303
15.2559815074,0.00537535210602
15.4221082541,0.00555128598015
15.5900440024,0.00573372284727
15.7598084511,0.00592292776432
15.9314215134,0.00611917640377
16.1049033195,0.00632275542203
16.2802742186,0.00653396283561
16.4575547815,0.00675310840465
16.6367658033,0.00698051402348
16.8179283051,0.00721651411775
17.0010635372,0.00746145604759
17.1861929812,0.00771570051641
17.3733383527,0.00797962198444
17.5625216037,0.00825360908654
17.7537649253,0.00853806505335
17.94709075,0.00883340813503
18.142521755,0.00914007202651
18.3400808641,0.00945850629337
18.5397912508,0.00978917679714
18.7416763411,0.0101325661187
18.9457598159,0.0104891739788
19.152065614,0.0108595176538
19.3606179349,0.0112441323858
19.5714412418,0.0116435717845
19.7845602639,0.0120584082208
20,0.0124892332078
20.217785721,0.01293665777
20.4379429731,0.0134013127971
20.6604975804,0.0138838493802
20.8854756485,0.0143849391291
21.1129035672,0.0149052744677
21.3428080135,0.0154455689057
21.5752159551,0.0160065572831
21.8101546533,0.0165889959869
22.0476516662,0.0171936631346
22.2877348519,0.0178213587253
22.5304323722,0.0184729047527
22.7757726951,0.0191491452788
23.0237845991,0.0198509464661
23.2744971756,0.020579196564
23.527939833,0.0213348058486
23.7841423001,0.0221187065122
24.0431346291,0.0229318525001
24.3049471996,0.0237752192932
24.5696107221,0.024649803633
24.8371562415,0.0255566231883
25.1076151405,0.0264967161607
25.3810191438,0.0274711408274
25.6574003216,0.0284809750218
25.936791093,0.0295273155478
26.2192242305,0.0306112775307
26.5047328632,0.0317339937015
26.7933504811,0.0328966136178
27.0851109387,0.0341003028194
27.3800484595,0.0353462419225
27.6781976393,0.0366356256526
27.9795934508,0.0379696618201
28.2842712475,0.0393495702414
28.5922667678,0.0407765816101
28.9036161395,0.042251936323
29.2183558836,0.0437768832672
29.5365229188,0.0453526785746
29.8581545658,0.0469805843528
30.1832885519,0.0486618673998
30.5119630149,0.0503977979136
30.8442165082,0.0521896482076
31.1800880048,0.0540386914432
31.5196169022,0.0559462003951
31.8628430268,0.0579134462607
32.209806639,0.059941697534
32.5605484371,0.0620322189561
32.9151095631,0.064186270566
33.2735316065,0.0664051068675
33.6358566101,0.0686899761358
34.0021270744,0.0710421198851
34.3723859624,0.0734627725224
34.7466767055,0.0759531612109
35.1250432075,0.0785145059712
35.5075298505,0.0811480200476
35.8941815001,0.0838549105681
36.28504351,0.0866363795297
36.6801617282,0.0894936251389
37.0795825017,0.0924278435431
37.4833526822,0.0954402309848
37.8915196317,0.0985319864136
38.3041312279,0.101704314596
38.7212358698,0.104958429759
39.1428824835,0.108295559801
39.5691205278,0.111716951126
40,0.115223874125
40.4355714421,0.118817629355
40.8758859462,0.122499554472
41.3209951608,0.126271031939
41.7709512971,0.130133497586
42.2258071344,0.13408845005
42.6856160271,0.138137461161
43.1504319103,0.142282187324
43.6203093066,0.146524381955
44.0953033323,0.150865909044
44.5754697038,0.155308757884
45.0608647443,0.159855059078
45.5515453903,0.164507101859
46.0475691981,0.169267352829
46.5489943511,0.174138476209
47.055879666,0.179123355675
47.5682846001,0.184225117917
48.0862692581,0.189447158013
48.6098943992,0.194793166765
49.1392214443,0.200267160134
49.6743124829,0.205873510942
50.215230281,0.21161698301
50.7620382877,0.21750276794
51.3148006432,0.223536524768
51.873582186,0.229724422732
52.438448461,0.236073187444
53.0094657264,0.242590150781
53.5867009621,0.249283304866
54.1702218775,0.256161360512
54.760096919,0.263233810626
55.3563952786,0.270510999053
55.9591869015,0.278004195457
56.5685424949,0.28572567689
57.1845335357,0.293688816791
57.8072322791,0.301908182256
58.4367117672,0.310399640521
59.0730458376,0.319180475744
59.7163091317,0.328269517291
60.3665771037,0.337687280929
61.0239260298,0.347456124472
61.6884330163,0.357600419691
62.3601760095,0.368146742494
63.0392338043,0.379124083715
63.7256860537,0.390564083126
64.419613278,0.402501289695
65.1210968743,0.414973451541
65.8302191262,0.428021839501
66.5470632131,0.441691608849
67.2717132203,0.456032204337
68.0042541487,0.471097814509
68.7447719249,0.486947882171
69.4933534109,0.503647678893
70.2500864149,0.521268952702
71.0150597011,0.539890659538
71.7883630001,0.559599790694
72.57008702,0.580492310507
73.3603234564,0.602674220817
74.1591650033,0.626262771494
74.9667053644,0.651387839552
75.7830392635,0.678193503211
76.6082624559,0.706839841784
77.4424717397,0.737504997702
78.285764967,0.770387543407
79.1382410555,0.805709203507
80,0.843717991839
