temperature_K,value_GPa
0,209.182
4.640625,209.255023455
9.28125,209.319053339
13.921875,209.373995782
18.5625,209.419767237
23.203125,209.456294477
27.84375,209.483514591
32.484375,209.501374993
37.125,209.509833414
41.765625,209.508857904
46.40625,209.498426836
51.046875,209.478528901
55.6875,209.449163109
60.328125,209.410338792
64.96875,209.362075601
69.609375,209.304403506
74.25,209.237362798
78.890625,209.161004088
83.53125,209.075388306
88.171875,208.980586703
92.8125,208.87668085
97.453125,208.763762635
102.09375,208.641934271
106.734375,208.511308285
111.375,208.37200753
116.015625,208.224165173
120.65625,208.067924706
125.296875,207.903439937
129.9375,207.730874997
134.578125,207.550404334
139.21875,207.362212719
143.859375,207.16649524
148.5,206.963457306
153.140625,206.753314647
157.78125,206.536293311
162.421875,206.312629668
167.0625,206.082570406
171.703125,205.846372534
176.34375,205.604303381
180.984375,205.356640594
185.625,205.103672143
190.265625,204.845696315
194.90625,204.583021719
199.546875,204.315967282
204.1875,204.044862254
208.828125,203.770046201
213.46875,203.491869012
218.109375,203.210690894
222.75,202.926882374
227.390625,202.640824301
232.03125,202.352907842
236.671875,202.063534484
241.3125,201.773116033
245.953125,201.482074619
250.59375,201.190842686
255.234375,200.899863002
259.875,200.609588655
264.515625,200.32048305
269.15625,200.033019915
273.796875,199.747683295
278.4375,199.464967558
283.078125,199.18537739
287.71875,198.909427796
292.359375,198.637644103
297,198.370561957
